open_date,close_date,signal,entry,exit,sl,tp,rr,lots,risk_usd,pnl,result,rsi,atr,equity_after,reason
2026-02-13,2026-03-02,SHORT,4919.66,5345.7,5345.7,4067.57,2.0,0.01,500.0,-500.0,LOSS,48.6,284.03,24500.0,"Trend DOWN, RSI=48.6, price below SMA20, SMA20<SMA50"
2026-03-02,2026-03-03,LONG,5277.51,5094.32,5094.32,5643.9,2.0,0.03,490.0,-490.0,LOSS,59.5,122.13,24010.0,"Trend UP, RSI=59.5, price above SMA20, SMA20>SMA50"
2026-03-05,2026-03-18,LONG,5135.69,4925.51,4925.51,5556.05,2.0,0.02,480.2,-480.2,LOSS,59.1,140.12,23529.8,"Trend UP, RSI=59.1, price above SMA20, SMA20>SMA50"
2026-02-16,2026-03-19,LONG,5042.78,4613.63,4613.63,5901.08,2.0,0.01,500.0,-500.0,LOSS,50.6,286.1,23029.8,"Trend UP, RSI=50.6, price above SMA20, SMA20>SMA50"
2026-02-17,2026-03-19,LONG,4993.49,4575.0,4575.0,5830.46,2.0,0.01,500.0,-500.0,LOSS,45.5,278.99,22529.8,"Trend UP, RSI=45.5, price above SMA20, SMA20>SMA50"
2026-03-18,2026-03-19,SHORT,5002.82,4605.08,5201.69,4605.08,2.0,0.02,470.6,941.2,WIN,40.5,132.58,23471.0,"Trend DOWN, RSI=40.5, price below SMA20, SMA20<SMA50"
2026-03-19,2026-03-23,SHORT,4825.37,4398.77,5038.67,4398.77,2.0,0.02,469.42,938.84,WIN,32.6,142.2,24409.84,"Trend DOWN, RSI=32.6, price below SMA20, SMA20<SMA50"
