open_date,close_date,signal,entry,exit,sl,tp,rr,lots,risk_usd,pnl,result,rsi,adx,atr,equity_after,reason,confidence
2026-02-16,2026-03-19,LONG,5042.78,4613.63,4613.63,5901.08,2.0,0.01,500.0,-500.0,LOSS,50.6,,286.1,24500.0,"EMA9>EMA21, price>SMA20>EMA50, RSI=50.6, ADX=None",72
2026-02-17,2026-03-19,LONG,4993.49,4575.0,4575.0,5830.46,2.0,0.01,500.0,-500.0,LOSS,45.5,,278.99,24000.0,"EMA9>EMA21, price>SMA20>EMA50, RSI=45.5, ADX=None",68
